Method,Samples,Phase,Time (s),Position Error (cm)
OTP,90,1,4.771197319,7.0260627862913
OTP,90,1,5.086588145,4.87982338044975
OTP,90,1,4.908617258,3.54242473405315
OTP,90,1,4.598543405,8.67171628100269
OTP,90,1,4.537322283,8.27376719109708
OTP,90,1,4.61975193,6.57043530248305
OTP,90,1,4.810339212,4.10655201137063
OTP,90,1,4.472495317,2.64358885788614
OTP,90,1,4.838656663,2.98772905393754
OTP,90,1,4.665512085,3.38121145982029
OTP,150,1,7.137286663,4.81531137844013
OTP,150,1,7.28783989,3.58768378947524
OTP,150,1,7.128266096,1.74429629738697
OTP,150,1,6.902403354,5.08550413020378
OTP,150,1,6.958099365,3.21631505481961
OTP,150,1,7.314178228,2.5792220202273
OTP,150,1,7.251760244,4.11348828345333
OTP,150,1,7.085281611,3.73665692726455
OTP,150,1,6.86903119,5.10379969222672
OTP,150,1,6.671958685,2.61146303257373
OTP,150,1,7.058630228,1.46238945844554
OTP,150,0.8,6.030975341,7.08121826392808
OTP,150,0.8,5.930840492,8.39577953201259
OTP,150,0.8,5.678243875,7.17422935885473
OTP,150,0.8,5.886484146,3.12855668505283
OTP,150,0.8,6.142739535,5.40262323504383
OTP,150,0.8,6.518841982,9.09092764651878
OTP,150,0.8,6.014323711,9.11642476585299
OTP,150,0.8,5.939334631,10.4524552008743
OTP,150,0.8,5.802141666,8.00145340749427
OTP,150,0.8,5.584964753,3.77024137935594
OTP,150,0.8,5.697665453,4.37429644618103
OTP,150,0.8,6.155517579,6.9060674298951
OTP,150,0.6,4.429020166,9.28939848732074
OTP,150,0.6,4.378893852,9.49799282236467
OTP,150,0.6,4.642585992,14.9656018355347
OTP,150,0.6,4.493749857,16.3467072089809
OTP,150,0.6,4.081738949,5.92117893421897
OTP,150,0.6,4.488325358,11.2309958271874
OTP,150,0.6,4.642879724,14.0932390271331
OTP,150,0.6,4.473942518,12.9708754535136
OTP,150,0.6,4.350884915,9.14371452284394
OTP,150,0.6,4.488232135,9.76432917807129
OTP,150,0.6,4.613230944,10.3386526363416
OTP,150,0.6,5.214859962,6.83625262989295
