Method,Pattern,Samples,Phase,Time (s),Position Error (cm)
baseline (phase=1),,150,1,4.449492931,1.29878843995544
baseline (phase=1),,150,1,5.403000593,2.86243543077569
baseline (phase=1),,150,1,5.94164896,2.51616888483369
baseline (phase=1),,150,1,5.235966444,2.60917199642794
baseline (phase=1),,150,1,5.501774311,3.42647528394527
baseline (phase=1),,150,1,5.125498533,0.497920432912871
baseline (phase=1),,150,1,5.42365098,1.18571740469363
baseline (phase=1),,150,1,5.431842804,3.13920841805274
baseline (phase=1),,150,1,5.142116069,4.01987932929909
baseline (phase=1),,150,1,3.873511076,2.85391905991757
baseline (phase=1),,150,1,4.509328842,1.07357816071768
baseline (phase=0.8),,150,0.8,4.190770388,6.12171961813818
baseline (phase=0.8),,150,0.8,4.553371906,4.47812837439937
baseline (phase=0.8),,150,0.8,4.608421802,3.41083691220554
baseline (phase=0.8),,150,0.8,4.350697994,2.44610912315823
baseline (phase=0.8),,150,0.8,3.736600161,3.32564013143296
baseline (phase=0.8),,150,0.8,4.225279808,2.25516139177775
baseline (phase=0.8),,150,0.8,3.940958261,5.11308899651119
baseline (phase=0.8),,150,0.8,4.152596235,4.10894852983607
baseline (phase=0.8),,150,0.8,4.884079933,4.21117692333133
baseline (phase=0.8),,150,0.8,4.200726509,2.97078117381345
baseline (phase=0.8),,150,0.8,4.343343019,2.99788903529782
baseline (phase=0.5),,150,0.5,4.77133441,13.9445243377268
baseline (phase=0.5),,150,0.5,3.781937837,13.011791873617
baseline (phase=0.5),,150,0.5,3.971360683,17.5025707678313
baseline (phase=0.5),,150,0.5,3.351621389,11.904190574122
baseline (phase=0.5),,150,0.5,3.482786417,13.2002843832939
baseline (phase=0.5),,150,0.5,3.411916971,10.3207596528164
baseline (phase=0.5),,150,0.5,3.287202597,12.469455088789
proposed,straight,,,3.49835,1.27203
proposed,straight,,,3.84693,0.904282
proposed,straight,,,5.72652,0.763818
proposed,straight,,,3.80579,1.16052
proposed,straight,,,4.17579,1.15226
proposed,straight,,,4.08439,0.824156
proposed,straight,,,4.21724,1.01208
proposed,straight,,,3.28031,1.21273
proposed,straight,,,3.64728,0.965244
proposed,straight,,,3.40996,1.21668
proposed,curved,,,6.05184,0.846466
proposed,curved,,,5.29649,1.15572
proposed,curved,,,6.11588,1.12128
proposed,curved,,,5.57218,1.34272
proposed,curved,,,6.46775,1.2534
proposed,accelerated,,,5.85143,1.11813
proposed,accelerated,,,4.97056,1.09819
proposed,accelerated,,,4.76697,0.345286
proposed,accelerated,,,5.78777,0.605595
proposed,accelerated,,,5.17424,1.26611
baseline,straight,,,8.176610947,1.62387267340972
baseline,straight,,,6.73802638,2.22461105981607
baseline,straight,,,6.81865263,3.0859484766137
baseline,straight,,,7.000118971,3.15464245219854
baseline,straight,,,6.950863123,1.93021867476119
baseline,accelerated,,,7.567472934,8.77495669993107
baseline,accelerated,,,6.934818029,15.7228033308158
baseline,accelerated,,,6.700465917,15.4508099219809
baseline,accelerated,,,7.139593601,14.615966660184
baseline,accelerated,,,6.787097454,14.3251360125355
baseline,accelerated,,,6.95950818,9.75991574812304
baseline,curved,,,7.348624706,7.96861294533889
baseline,curved,,,7.323630333,15.8300405850664
baseline,curved,,,8.300871134,13.0027704395276
baseline,curved,,,7.280473948,10.3849613190731
baseline,curved,,,6.885973453,9.78107561132614
baseline,curved,,,6.669357777,11.5617707726857
direct tracking,,,,13.897,
direct tracking,,,,11.961,
direct tracking,,,,10.159,
direct tracking,,,,10.159,
direct tracking,,,,9.926,
